House_Type,Family_Members,Number_of_Rooms,AC_Units,AC_Usage_Hours,Fan_Usage_Hours,Refrigerator_Usage_Hours,Washing_Machine_Usage_Hours,Water_Motor_Usage_Hours,Lighting_Hours,TV_Usage_Hours,Iron_Usage_Hours,Kitchen_Appliance_Hours,Daily_Appliance_Count,Outdoor_Temperature_C,Day_of_Week,Is_Weekend,Season,Is_Holiday,Daily_Electricity_Consumption_kWh,House_Type_enc,Day_of_Week_enc,Season_enc
Portion/Rented Unit,3,2,0,0.0,9.46,24,0.32,1.58,8.05,4.27,0.15,2.51,6,9.3,Thursday,0,Winter,0,9.15,3,4,3
Portion/Rented Unit,6,6,1,9.36,9.62,24,0.6,1.56,10.02,1.56,0.21,1.94,13,28.3,Saturday,1,Monsoon,0,18.22,3,2,0
Independent House,7,2,1,0.68,8.53,24,0.91,0.67,6.41,4.29,0.02,3.3,7,24.0,Thursday,0,Monsoon,1,13.69,2,4,0
Independent House,6,2,0,0.0,13.44,24,0.72,1.36,6.75,3.51,0.21,2.36,13,26.8,Sunday,1,Spring,0,9.66,2,3,1
Portion/Rented Unit,9,4,2,9.63,17.07,24,1.14,1.14,9.0,8.87,0.27,1.54,13,28.7,Sunday,1,Monsoon,0,31.2,3,3,0
Apartment,5,2,0,0.0,9.75,24,4.0,1.63,4.93,4.19,0.27,1.43,14,26.4,Tuesday,0,Spring,0,11.41,0,5,1
Independent House,5,6,3,0.78,8.22,24,0.56,0.57,7.14,5.66,0.03,4.2,8,12.5,Saturday,1,Winter,0,18.58,2,2,3
Portion/Rented Unit,8,3,1,0.55,12.08,24,0.46,0.92,2.1,4.29,0.26,1.77,7,25.8,Wednesday,0,Spring,0,8.94,3,6,1
Independent House,6,2,1,6.33,6.82,24,0.1,0.82,3.86,2.42,0.29,1.25,12,28.7,Wednesday,0,Monsoon,1,20.88,2,6,0
Independent House,2,1,0,0.0,9.81,24,0.17,0.9,6.27,3.32,0.76,1.99,12,40.1,Friday,0,Summer,0,10.79,2,0,2
Apartment,5,4,1,7.13,6.81,24,3.4,0.89,6.36,3.1,0.05,5.41,12,30.9,Tuesday,0,Summer,0,20.8,0,5,2
Portion/Rented Unit,8,4,0,0.0,12.7,24,0.07,0.58,10.75,3.63,0.02,1.38,9,38.4,Friday,0,Summer,0,6.45,3,0,2
Apartment,9,5,1,0.0,7.11,24,0.28,0.66,8.71,4.74,0.13,2.31,5,7.5,Friday,0,Winter,0,10.02,0,0,3
Portion/Rented Unit,7,4,3,2.74,8.5,24,2.0,0.99,2.18,4.71,0.2,1.4,5,26.2,Thursday,0,Spring,1,18.26,3,4,1
Apartment,4,9,1,0.61,10.32,24,0.19,2.21,1.98,5.55,0.54,1.51,11,26.2,Friday,0,Spring,0,10.09,0,0,1
Apartment,6,4,1,9.44,8.09,24,1.17,1.39,6.5,0.26,0.29,4.73,9,35.8,Saturday,1,Summer,0,24.52,0,2,2
Apartment,5,3,0,0.0,10.92,24,0.11,1.07,3.7,2.49,0.84,2.17,14,36.9,Wednesday,0,Summer,0,9.76,0,6,2
Apartment,8,2,2,0.06,7.07,24,0.06,2.25,7.69,2.9,0.19,2.12,8,10.9,Monday,0,Winter,0,12.17,0,1,3
Independent House,3,3,1,5.01,10.28,24,0.11,0.49,1.0,5.56,0.69,1.82,6,38.3,Monday,0,Summer,0,17.95,2,1,2
Independent House,7,3,0,0.0,10.87,24,0.26,0.9,7.91,4.93,0.13,2.32,14,31.6,Tuesday,0,Monsoon,0,11.57,2,5,0
Portion/Rented Unit,3,5,1,0.0,14.84,24,0.76,1.06,7.91,0.24,0.14,3.44,14,27.8,Wednesday,0,Monsoon,0,9.45,3,6,0
Portion/Rented Unit,9,1,1,11.49,9.66,24,0.63,0.62,5.62,6.15,0.28,1.0,11,36.1,Sunday,1,Summer,0,18.82,3,3,2
Portion/Rented Unit,6,2,2,5.18,11.08,24,0.36,0.82,3.84,4.76,0.07,2.57,7,35.2,Tuesday,0,Summer,0,17.75,3,5,2
Apartment,8,4,3,2.79,13.74,24,0.71,1.32,8.42,5.19,0.83,1.0,5,35.3,Friday,0,Summer,0,22.88,0,0,2
Portion/Rented Unit,4,4,0,0.0,14.3,24,0.26,0.57,6.31,3.33,0.0,0.28,14,25.8,Thursday,0,Monsoon,0,4.53,3,4,0
Portion/Rented Unit,7,5,3,2.77,6.45,24,0.66,0.61,5.62,4.54,0.04,2.62,6,11.2,Friday,0,Winter,0,18.62,3,0,3
Independent House,5,1,0,0.0,9.34,24,0.06,0.94,10.1,1.86,0.02,2.35,6,7.0,Thursday,0,Winter,0,9.47,2,4,3
Apartment,7,4,0,0.0,5.43,24,1.08,0.87,9.12,4.99,0.55,2.44,10,12.6,Tuesday,0,Winter,1,11.42,0,5,3
Bungalow,3,2,2,9.21,9.23,24,1.4,0.69,6.78,3.7,0.51,1.79,14,34.9,Sunday,1,Summer,0,39.55625,1,3,2
Independent House,3,1,1,3.05,15.94,24,0.85,0.49,8.29,5.18,0.71,3.0,12,14.3,Friday,0,Winter,0,16.36,2,0,3
Independent House,4,1,1,0.0,8.78,24,0.44,1.93,6.68,1.76,0.96,0.0,12,6.8,Thursday,0,Winter,0,9.38,2,4,3
Portion/Rented Unit,7,4,3,7.0,6.43,24,0.55,0.82,7.48,4.92,0.93,2.15,11,37.9,Saturday,1,Summer,1,32.45,3,2,2
Independent House,6,4,2,6.48,8.26,24,0.59,0.66,8.76,5.58,0.02,0.48,5,28.8,Saturday,1,Summer,0,29.89,2,2,2
Independent House,7,6,1,1.27,9.07,24,0.22,1.46,10.76,0.93,0.58,0.9,12,5.8,Friday,0,Winter,0,10.98,2,0,3
Independent House,5,3,3,0.02,6.31,24,0.25,0.99,9.34,7.08,0.17,3.51,8,7.4,Monday,0,Winter,1,14.42,2,1,3
Independent House,3,5,0,0.0,13.2,24,0.67,1.8,6.16,7.22,0.37,1.83,6,31.5,Friday,0,Monsoon,0,12.28,2,0,0
Portion/Rented Unit,6,3,3,5.93,16.74,24,0.15,1.51,8.6,4.56,0.44,2.27,6,40.8,Monday,0,Summer,0,29.64,3,1,2
Portion/Rented Unit,5,1,1,7.32,10.71,24,1.15,1.68,2.6,3.56,0.24,0.92,8,40.7,Friday,0,Summer,0,14.57,3,0,2
Independent House,7,2,2,0.74,1.05,24,0.15,0.3,9.52,5.66,0.0,0.54,5,6.7,Tuesday,0,Winter,1,9.88,2,5,3
Apartment,9,3,0,1.14,13.85,24,0.42,1.02,5.02,3.8,0.14,2.44,8,36.5,Wednesday,0,Monsoon,0,11.59,0,6,0
Portion/Rented Unit,8,4,0,0.0,15.05,24,0.33,0.72,7.32,6.45,0.04,3.32,8,48.2,Friday,0,Summer,1,11.45,3,0,2
Apartment,4,3,0,0.0,7.8,24,1.13,1.73,8.17,2.54,0.26,1.7,11,43.8,Tuesday,0,Summer,0,8.85,0,5,2
Independent House,8,3,2,0.0,4.68,24,0.34,1.08,8.6,5.74,0.6,2.23,8,30.4,Thursday,0,Spring,0,11.76,2,4,1
Independent House,5,4,0,0.0,7.1,24,1.05,1.48,4.97,9.01,0.45,3.55,11,24.0,Sunday,1,Spring,0,15.97,2,3,1
Portion/Rented Unit,7,3,2,2.96,10.89,24,0.44,1.16,6.15,4.48,0.47,1.45,11,14.5,Friday,0,Winter,0,15.13,3,0,3
Bungalow,7,3,1,6.23,9.12,24,1.15,0.84,8.74,3.84,0.07,2.51,14,28.6,Tuesday,0,Monsoon,0,28.82,1,5,0
Portion/Rented Unit,3,5,2,10.05,12.59,24,0.69,1.07,4.43,6.78,0.07,1.99,9,36.9,Tuesday,0,Summer,0,29.61,3,5,2
Apartment,8,6,0,0.0,6.73,24,0.97,1.41,8.24,2.05,0.09,1.11,12,10.1,Monday,0,Winter,0,9.34,0,1,3
Portion/Rented Unit,2,1,0,0.0,11.3,24,0.89,1.55,7.52,4.56,0.08,1.81,6,20.1,Thursday,0,Spring,0,8.11,3,4,1
Independent House,8,3,3,4.86,7.29,24,0.49,1.47,7.99,1.7,0.22,2.41,8,39.7,Thursday,0,Summer,0,33.74,2,4,2
Portion/Rented Unit,6,3,1,7.69,7.43,24,0.56,1.05,2.95,2.45,0.08,1.53,5,33.3,Sunday,1,Monsoon,0,13.92,3,3,0
Portion/Rented Unit,8,2,1,9.03,11.33,24,1.08,0.6,7.62,5.09,0.18,1.9,14,33.0,Wednesday,0,Summer,0,20.04,3,6,2
Apartment,3,1,1,0.18,6.85,24,0.3,1.72,9.62,1.69,0.27,2.73,5,14.2,Tuesday,0,Winter,0,9.97,0,5,3
Apartment,9,2,0,0.0,8.13,24,0.63,1.32,6.57,4.52,0.53,1.72,9,32.6,Sunday,1,Summer,0,12.52,0,3,2
Portion/Rented Unit,9,3,0,0.0,3.9,24,0.66,1.47,4.24,6.77,1.4,2.33,7,16.7,Tuesday,0,Winter,0,11.06,3,5,3
Independent House,8,2,1,11.78,12.86,24,0.01,2.16,7.8,5.83,0.05,1.0,7,41.1,Monday,0,Summer,0,28.74,2,1,2
Independent House,8,6,2,1.3,10.75,24,0.1,0.6,6.73,4.38,0.34,2.3,8,13.8,Friday,0,Winter,0,15.8,2,0,3
Bungalow,8,4,2,0.96,6.26,24,0.14,1.58,9.43,5.54,0.15,3.97,6,24.8,Wednesday,0,Spring,0,23.07,1,6,1
Apartment,3,3,0,0.0,12.34,24,0.64,1.7,9.63,2.02,0.28,1.56,13,31.6,Monday,0,Monsoon,0,8.12,0,1,0
Bungalow,3,4,3,0.2,6.96,24,0.42,0.4,10.99,4.91,0.03,1.73,5,28.7,Friday,0,Winter,0,13.57,1,0,3
Bungalow,2,2,2,4.87,13.85,24,0.06,0.84,7.0,5.07,0.27,2.64,12,39.4,Thursday,0,Summer,0,33.56,1,4,2
Apartment,3,2,0,0.0,15.65,24,1.69,0.46,4.37,8.13,0.09,0.25,9,43.5,Sunday,1,Summer,0,9.04,0,3,2
Portion/Rented Unit,9,5,0,0.0,9.95,24,0.56,1.43,8.68,4.21,0.22,2.3,12,28.4,Wednesday,0,Spring,0,10.09,3,6,1
Apartment,7,2,1,1.07,6.83,24,0.32,0.4,10.69,6.37,0.35,2.9,5,28.7,Friday,0,Winter,0,11.56,0,0,3
Portion/Rented Unit,8,3,1,10.27,9.0,24,1.81,1.76,2.77,7.71,0.12,2.85,9,32.0,Saturday,1,Summer,0,22.68,3,2,2
Independent House,4,2,2,5.78,9.8,24,0.01,0.28,5.28,3.53,0.35,2.08,5,30.8,Thursday,0,Monsoon,0,26.28,2,4,0
Apartment,3,7,3,1.67,6.95,24,1.54,1.57,9.32,2.32,0.6,3.48,13,20.9,Saturday,1,Spring,0,16.3,0,2,1
Portion/Rented Unit,4,2,1,9.64,15.79,24,0.25,1.65,9.35,4.13,0.19,3.32,8,32.1,Monday,0,Summer,0,20.98,3,1,2
Apartment,6,3,3,2.02,10.48,24,0.15,1.53,5.08,2.7,0.15,2.42,10,23.7,Monday,0,Spring,0,16.7,0,1,1
Apartment,5,4,3,7.51,9.86,24,2.47,1.36,5.61,2.21,0.99,0.32,5,34.4,Tuesday,0,Monsoon,0,35.73,0,5,0
Independent House,9,4,2,5.19,5.89,24,0.02,0.98,7.34,9.01,0.1,3.63,5,34.5,Tuesday,0,Monsoon,0,29.46,2,5,0
Portion/Rented Unit,8,3,2,11.53,12.22,24,2.42,1.73,6.99,4.11,0.17,2.06,12,31.7,Tuesday,0,Monsoon,0,35.28,3,5,0
Portion/Rented Unit,8,2,2,1.4,9.38,24,1.71,0.16,4.38,4.32,0.34,3.28,11,24.3,Sunday,1,Spring,1,17.4,3,3,1
