,importance
AC_Usage_Hours,0.6654126925110606
AC_Units,0.14820580383434345
House_Type_enc,0.07463220280756659
Kitchen_Appliance_Hours,0.02035708687629725
Outdoor_Temperature_C,0.015845928557582555
Iron_Usage_Hours,0.012478096229088659
Washing_Machine_Usage_Hours,0.010566687942946847
Fan_Usage_Hours,0.010085507772335276
TV_Usage_Hours,0.008848779135883084
Water_Motor_Usage_Hours,0.008496387831802404
Lighting_Hours,0.006808524353318864
Family_Members,0.00649398993843809
Daily_Appliance_Count,0.0034054090920257636
Day_of_Week_enc,0.0029862344487315857
Number_of_Rooms,0.0027613514444337173
Season_enc,0.0013788330286371676
Is_Weekend,0.000715756574122452
Is_Holiday,0.0005207276213857223
Refrigerator_Usage_Hours,0.0
